model,signal_type,precision,recall,f1_score,auc_roc,pr_auc,accuracy,true_anomalies,predicted_anomalies,total_samples,train_time_s,fold,threshold,best_hyperparams
IsolationForest,traces,0.2768,0.8065,0.4122,0.5419,0.3477,0.3843,3090,9002,11545,30.64,2,0.01,"{'n_estimators': 50, 'contamination': 0.14284397521546666, 'max_features': 0.9828160165372797, 'max_samples': 0.9041986740582306}"
OneClassSVM,traces,0.268,0.9971,0.4224,0.5306,0.3173,0.2702,3090,11497,11545,19.68,2,0.02,"{'kernel': 'rbf', 'nu': 0.044846856872152424, 'gamma': 'auto'}"
LSTM_AE,traces,0.2666,1.0,0.421,0.202,0.2347,0.2666,3074,11529,11529,874.1,2,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,traces,0.771,0.4304,0.5524,0.5973,0.5594,0.814,3074,1716,11529,2312.9,2,0.5,"{'d_model': 64, 'nhead': 2, 'n_layers': 1, 'lr': 0.003922128691774916, 'dropout': 0.09496194548203149, 'epochs': 50}"
CNN1D_AE,traces,0.5614,0.299,0.3902,0.4447,0.387,0.7508,3074,1637,11529,882.41,2,0.5,"{'filters': 128, 'kernel_size': 3, 'n_layers': 4, 'lr': 0.002592475660475161, 'dropout': 0.36450358402049365, 'epochs': 90}"
LSTM_VAE,traces,0.2666,1.0,0.421,0.284,0.276,0.2666,3074,11529,11529,609.38,2,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'lr': 0.005399484409787433, 'dropout': 0.3005575058716044, 'beta': 0.1595857358814127, 'epochs': 30}"
IsolationForest,metrics,0.4196,0.6897,0.5217,0.549,0.4987,0.4785,31195,51283,75638,268.72,2,0.01,"{'n_estimators': 350, 'contamination': 0.10913016089144635, 'max_features': 0.5102922471479012, 'max_samples': 0.9849549260809971}"
OneClassSVM,metrics,0.4117,0.887,0.5624,0.4988,0.437,0.4306,31195,67208,75638,47.25,2,0.14,"{'kernel': 'sigmoid', 'nu': 0.036503833523887946, 'gamma': 'auto'}"
LSTM_AE,metrics,0.4124,1.0,0.5839,0.2179,0.3758,0.4124,31186,75629,75629,5319.42,2,0.01,"{'hidden_dim': 64, 'n_layers': 2, 'lr': 0.0002051338263087451, 'dropout': 0.07799726016810132, 'epochs': 30}"
Transformer_AE,metrics,0.4124,1.0,0.5839,0.384,0.4854,0.4124,31186,75629,75629,4508.87,2,0.01,"{'d_model': 128, 'nhead': 8, 'n_layers': 1, 'lr': 0.0040215545266902904, 'dropout': 0.03727532183988541, 'epochs': 100}"
