model,signal_type,precision,recall,f1_score,auc_roc,pr_auc,accuracy,true_anomalies,predicted_anomalies,total_samples,train_time_s,fold,threshold,best_hyperparams
DEEP_SVDD,logs,0.4228,0.9603,0.5872,0.6532,0.6416,0.4682,4109,9332,10434,394.62,1,0.43,"{'hidden_dim': 64, 'n_layers': 1, 'latent_dim': 8, 'lr': 0.00018089224154177946, 'dropout': 0.09754142550339512, 'pretrain_epochs': 50, 'finetune_epochs': 60}"
DAGMM,logs,0.8616,0.8927,0.8769,0.9394,0.9244,0.9013,4109,4257,10434,284.78,1,0.74,"{'hidden_dim': 32, 'n_layers': 2, 'latent_dim': 16, 'n_gmm': 4, 'lr': 0.00042254036527027085, 'dropout': 0.4517544509454045, 'lambda_energy': 0.2743137962425775, 'lambda_cov_diag': 0.0023040606112866647, 'epochs': 90}"
DEEP_SVDD,logs,0.4445,0.9165,0.5986,0.6479,0.6665,0.5137,4142,8540,10467,365.22,2,0.41,"{'hidden_dim': 32, 'n_layers': 2, 'latent_dim': 32, 'lr': 0.001891758740973193, 'dropout': 0.02658364367136093, 'pretrain_epochs': 40, 'finetune_epochs': 30}"
DAGMM,logs,0.6972,0.86,0.7701,0.8847,0.8513,0.7968,4142,5109,10467,359.96,2,0.49,"{'hidden_dim': 128, 'n_layers': 2, 'latent_dim': 4, 'n_gmm': 4, 'lr': 0.002205934624635894, 'dropout': 0.19009136319305533, 'lambda_energy': 0.1264451862491321, 'lambda_cov_diag': 0.0022996663901164874, 'epochs': 50}"
DEEP_SVDD,logs,0.9622,0.5174,0.6729,0.7318,0.7631,0.8027,4082,2195,10407,428.32,3,0.94,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 8, 'lr': 0.0004187594718900631, 'dropout': 0.16259166101337352, 'pretrain_epochs': 50, 'finetune_epochs': 50}"
DAGMM,logs,0.8674,0.8141,0.8399,0.898,0.8804,0.8783,4082,3831,10407,354.64,3,0.49,"{'hidden_dim': 64, 'n_layers': 2, 'latent_dim': 16, 'n_gmm': 4, 'lr': 0.0006148921136676838, 'dropout': 0.4994465914832116, 'lambda_energy': 0.27124792851994145, 'lambda_cov_diag': 0.0018500180217126665, 'epochs': 40}"
DEEP_SVDD,logs,0.3922,1.0,0.5634,0.4321,0.4828,0.3922,4081,10406,10406,328.43,4,0.01,"{'hidden_dim': 64, 'n_layers': 1, 'latent_dim': 16, 'lr': 0.00010862348973937149, 'dropout': 0.023890594399117282, 'pretrain_epochs': 20, 'finetune_epochs': 60}"
DAGMM,logs,0.8146,0.8344,0.8244,0.9088,0.8725,0.8606,4081,4180,10406,293.35,4,0.73,"{'hidden_dim': 32, 'n_layers': 1, 'latent_dim': 8, 'n_gmm': 2, 'lr': 0.00023045254190652806, 'dropout': 0.17455198366464997, 'lambda_energy': 0.312601804902311, 'lambda_cov_diag': 0.004306621062821277, 'epochs': 40}"
DEEP_SVDD,logs,0.4214,0.9695,0.5874,0.5686,0.5441,0.4702,4028,9267,10353,386.91,5,0.43,"{'hidden_dim': 64, 'n_layers': 1, 'latent_dim': 16, 'lr': 0.0002560742873284924, 'dropout': 0.2268302678751436, 'pretrain_epochs': 20, 'finetune_epochs': 60}"
DAGMM,logs,0.6996,0.7962,0.7448,0.8157,0.7225,0.7877,4028,4584,10353,359.65,5,0.48,"{'hidden_dim': 128, 'n_layers': 1, 'latent_dim': 8, 'n_gmm': 2, 'lr': 0.005532496914298506, 'dropout': 0.40183603844955723, 'lambda_energy': 0.0768316328806251, 'lambda_cov_diag': 0.007808345085542414, 'epochs': 70}"
DEEP_SVDD,traces,0.7228,0.79,0.7549,0.8755,0.7975,0.8639,3053,3337,11508,440.33,1,0.63,"{'hidden_dim': 32, 'n_layers': 2, 'latent_dim': 32, 'lr': 0.00018624012766469444, 'dropout': 0.110056400229472, 'pretrain_epochs': 20, 'finetune_epochs': 30}"
DAGMM,traces,0.8253,0.7861,0.8052,0.9294,0.8872,0.8991,3053,2908,11508,373.46,1,0.85,"{'hidden_dim': 32, 'n_layers': 2, 'latent_dim': 8, 'n_gmm': 2, 'lr': 0.0069782812651260325, 'dropout': 0.04424625102595975, 'lambda_energy': 0.07851504189403356, 'lambda_cov_diag': 0.0011097554561103106, 'epochs': 50}"
DEEP_SVDD,traces,0.4181,0.8917,0.5693,0.8103,0.6889,0.6402,3074,6556,11529,428.24,2,0.48,"{'hidden_dim': 32, 'n_layers': 2, 'latent_dim': 32, 'lr': 0.00040135678891278564, 'dropout': 0.2080157334586989, 'pretrain_epochs': 40, 'finetune_epochs': 20}"
DAGMM,traces,0.9051,0.8627,0.8834,0.9581,0.9321,0.9393,3074,2930,11529,439.99,2,0.89,"{'hidden_dim': 32, 'n_layers': 2, 'latent_dim': 16, 'n_gmm': 8, 'lr': 0.0011633809830907697, 'dropout': 0.07861861925506515, 'lambda_energy': 0.1398040928092012, 'lambda_cov_diag': 0.001519872279165357, 'epochs': 90}"
DEEP_SVDD,traces,0.4773,0.9269,0.6301,0.8783,0.752,0.7134,3022,5869,11477,424.83,3,0.49,"{'hidden_dim': 64, 'n_layers': 1, 'latent_dim': 16, 'lr': 0.00010702056995617438, 'dropout': 0.01679294246723606, 'pretrain_epochs': 30, 'finetune_epochs': 50}"
DAGMM,traces,0.9085,0.6343,0.7471,0.7836,0.7719,0.8869,3022,2110,11477,425.67,3,0.95,"{'hidden_dim': 32, 'n_layers': 2, 'latent_dim': 8, 'n_gmm': 4, 'lr': 0.005310179335093163, 'dropout': 0.07245000957737811, 'lambda_energy': 0.21303541483764526, 'lambda_cov_diag': 0.002619112071795645, 'epochs': 30}"
DEEP_SVDD,traces,0.7449,0.8837,0.8084,0.9461,0.8668,0.8894,3034,3599,11489,445.66,4,0.51,"{'hidden_dim': 32, 'n_layers': 2, 'latent_dim': 32, 'lr': 0.0009718319944817398, 'dropout': 0.26136641469099703, 'pretrain_epochs': 40, 'finetune_epochs': 20}"
DAGMM,traces,0.6934,0.8342,0.7573,0.865,0.6665,0.8588,3034,3650,11489,536.78,4,0.63,"{'hidden_dim': 128, 'n_layers': 1, 'latent_dim': 8, 'n_gmm': 8, 'lr': 0.0037183641805732083, 'dropout': 0.09983689107917987, 'lambda_energy': 0.1633820882890881, 'lambda_cov_diag': 0.003912141628549694, 'epochs': 30}"
DEEP_SVDD,traces,0.9289,0.7993,0.8592,0.9072,0.8823,0.9307,3039,2615,11494,469.36,5,0.6,"{'hidden_dim': 32, 'n_layers': 2, 'latent_dim': 8, 'lr': 0.000339848446347671, 'dropout': 0.20855590418594105, 'pretrain_epochs': 40, 'finetune_epochs': 30}"
DAGMM,traces,0.8995,0.8898,0.8946,0.9512,0.9394,0.9446,3039,3006,11494,336.28,5,0.89,"{'hidden_dim': 32, 'n_layers': 2, 'latent_dim': 4, 'n_gmm': 4, 'lr': 0.00018155571490425186, 'dropout': 0.47595982982032625, 'lambda_energy': 0.05145923792348292, 'lambda_cov_diag': 0.00246631347134215, 'epochs': 40}"
