model,signal_type,fold,vus_pr,vus_roc,vus_buffer
DAGMM,logs,1,0.9252,0.9056,100
IsolationForest,logs,1,0.6882,0.6362,100
OneClassSVM,logs,1,0.6789,0.5881,100
